CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,lat,lng
1,36,0,51,44.7444,44.2031
1,5,1,41,-5.29,-44.49
1,5,1,41,-11.2958,-41.9869
1,39,2,66,37.1667,15.1833
1,34,0,20,53.0167,20.8833
1,14,11,54,16.1005,-88.8074
1,14,11,54,26.8941,-82.0513
1,29,7,64,51.0761,4.2803
1,41,1,54,44.05,43.0667
2,68,1,58,21.95,108.6167
1,24,6,41,52.3833,6.2667
1,30,4,59,50.3892,3.4858
1,47,0,55,37.3833,14.7
1,4,23,72,33.5722,-112.0892
1,28,2,28,52.0667,21.0167
5,0,13,154,-22.5128,-44.0008
1,16,2,67,9.7919,-74.7872
1,37,1,62,43.9333,23.0833
1,31,0,17,56.45,60.1833
1,35,0,56,46.9061,6.3547
2,22,15,77,42.6493,-83.2878
2,22,15,77,40.8894,-88.6409
1,15,0,44,-0.0206,109.3414
1,9,2,30,-22.7558,-51.3789
1,30,1,15,61.4833,21.8
3,18,5,79,-33.9581,25.6
1,19,7,34,29.9765,-93.9459
1,20,5,51,51.5906,-3.7986
1,34,0,77,34.1754,-103.3565
1,32,3,61,47.7213,-116.9384
1,7,2,32,-22.2281,-45.9336
0,29,0,25,44.55,135.5833
3,162,1,247,26.17,85.9
1,32,7,45,39.7805,-84.2003
1,32,7,45,39.2592,-119.5653
1,32,7,45,30.0315,-94.9158
1,25,3,36,50.9833,3.5333
2,15,5,124,18.55,-72.3
1,26,2,72,32.2631,-107.7525
0,32,1,55,33.2175,-97.1418
0,32,1,55,53.4554,-2.1122
0,31,0,25,30.395,-86.4701
1,31,1,60,12.127,78.158
1,17,0,30,8.5872,123.3408
1,34,0,44,56.6167,23.2667
1,37,4,47,42.9004,-85.7564
0,32,2,37,51.7667,5.7333
1,14,8,44,31.8393,-111.0009
1,14,8,44,39.3414,-77.24
2,14,24,58,42.9371,-88.0018
3,3,6,89,4.0833,-74.9167
2,38,7,52,42.2,14.2167
1,25,6,51,51.2365,-0.5703
1,38,0,13,48.05,39.9167
2,11,20,88,38.7931,-90.3899
1,31,3,54,49.5053,8.6033
1,28,3,44,51.3167,6.9667
1,26,6,51,51.7526,-0.4692
2,15,23,67,40.7637,-73.5245
1,25,3,49,50.7422,8.2039
5,203,5,151,30.25,120.1675
0,32,0,35,54.7972,9.3764
1,25,2,90,40.7431,-74.1531
1,25,2,90,41.0236,-73.7193
1,25,2,90,36.2438,-93.1198
1,25,2,90,39.2584,-84.7868
1,25,2,90,44.1935,-88.2941
1,25,2,90,40.6374,-79.7173
0,34,1,36,52.2167,7.9167
1,28,4,48,50.6092,2.9869
1,28,10,41,51.019,-3.1
1,28,10,41,41.9036,-71.0943
